GENESIS-Tabelle: 12411-0018
Population: Administrative districts, reference date, sex,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
age groups;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Current updating of population figures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Population (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female
;;;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over
2021-12-31;01001;Flensburg, kreisfreie Stadt;1430;1330;1574;1985;1149;932;4051;4389;3686;2771;2584;2389;3182;3178;2705;4097;3904;1279;1231;1553;1790;1135;961;4470;3808;2777;2364;2393;2466;3134;3164;2860;4764;5628
2021-12-31;01002;Kiel, kreisfreie Stadt;3395;3324;4029;4908;3009;2405;10127;11748;10715;8266;7005;6565;8505;8590;7031;10447;9791;3288;3161;3866;4709;2752;2429;11351;11345;10041;8176;7108;6743;8296;8963;7563;11967;14625
2021-12-31;01003;Lübeck, kreisfreie Stadt;2749;2901;3714;4539;2852;1950;6595;7628;7601;6689;5984;6006;7991;8397;6942;10610;10857;2622;2766;3413;4397;2656;1986;6859;7133;7003;6316;6490;6294;8203;8921;7750;12764;16699
2021-12-31;01004;Neumünster, kreisfreie Stadt;1099;1125;1461;1913;1209;804;2548;2531;2806;2421;2312;2298;2996;3163;2736;3998;3962;1036;1003;1392;1784;1089;728;2294;2153;2519;2269;2248;2273;3009;3112;2833;4585;5787
2021-12-31;01051;Dithmarschen, Landkreis;1656;1743;2255;3071;1895;1391;3721;3772;3796;3534;3473;3780;5331;5820;5196;8250;7362;1585;1715;2177;2921;1863;1356;3401;3205;3481;3372;3556;3756;5496;6055;5473;8743;9768
2021-12-31;01053;Herzogtum Lauenburg, Landkreis;2860;3202;4060;4914;3058;1994;5165;4825;5761;6138;6040;5945;8079;8957;7232;10274;10118;2681;3086;3787;4617;2871;1879;4227;4399;5683;6260;6361;6308;8278;9008;7520;11087;14145
2021-12-31;01054;Nordfriesland, Landkreis;2157;2297;2896;3610;2406;1725;4545;4916;5212;4589;4460;4519;6560;7365;6166;9779;8837;2004;2066;2712;3442;2257;1677;3951;4262;4550;4425;4698;4984;6790;7943;6814;10815;12131
2021-12-31;01055;Ostholstein, Landkreis;2222;2322;3198;4236;2659;1847;4763;4602;5187;4984;5201;5572;8076;9035;7904;13027;12588;2132;2379;3060;4084;2487;1759;3910;4144;5022;5213;5788;6009;8761;9750;8695;14348;17050
2021-12-31;01056;Pinneberg, Landkreis;4546;4881;6229;7750;4770;3183;8342;8318;9534;9698;10054;9714;13107;13786;11054;15394;15884;4281;4684;5959;7428;4394;2925;7238;7563;9016;9820;10280;10061;13154;14121;11376;17544;22238
