"NUTS3_ID","nuts3","age","sex","pop"
"DEB12","Ahrweiler County","[00-03)","female",1739
"DEB12","Ahrweiler County","[03-06)","female",1724
"DEB12","Ahrweiler County","[06-10)","female",2201
"DEB12","Ahrweiler County","[10-15)","female",2609
"DEB12","Ahrweiler County","[15-18)","female",1603
"DEB12","Ahrweiler County","[18-20)","female",1070
"DEB12","Ahrweiler County","[20-25)","female",2845
"DEB12","Ahrweiler County","[25-30)","female",3166
"DEB12","Ahrweiler County","[30-35)","female",3582
"DEB12","Ahrweiler County","[35-40)","female",3538
"DEB12","Ahrweiler County","[40-45)","female",3621
"DEB12","Ahrweiler County","[45-50)","female",3532
"DEB12","Ahrweiler County","[50-55)","female",5029
"DEB12","Ahrweiler County","[55-60)","female",5871
"DEB12","Ahrweiler County","[60-65)","female",5189
"DEB12","Ahrweiler County","[65-75)","female",8038
"DEB12","Ahrweiler County","[75+)","female",9491
"DEB12","Ahrweiler County","[00-03)","male",1820
"DEB12","Ahrweiler County","[03-06)","male",1846
"DEB12","Ahrweiler County","[06-10)","male",2288
"DEB12","Ahrweiler County","[10-15)","male",2789
"DEB12","Ahrweiler County","[15-18)","male",1641
"DEB12","Ahrweiler County","[18-20)","male",1190
"DEB12","Ahrweiler County","[20-25)","male",3386
"DEB12","Ahrweiler County","[25-30)","male",3550
"DEB12","Ahrweiler County","[30-35)","male",3792
"DEB12","Ahrweiler County","[35-40)","male",3731
"DEB12","Ahrweiler County","[40-45)","male",3531
"DEB12","Ahrweiler County","[45-50)","male",3318
"DEB12","Ahrweiler County","[50-55)","male",4874
"DEB12","Ahrweiler County","[55-60)","male",5830
"DEB12","Ahrweiler County","[60-65)","male",5184
"DEB12","Ahrweiler County","[65-75)","male",7702
"DEB12","Ahrweiler County","[75+)","male",6826
"DE275","Aichach-Friedberg County","[00-03)","female",2026
"DE275","Aichach-Friedberg County","[03-06)","female",2231
"DE275","Aichach-Friedberg County","[06-10)","female",2748
"DE275","Aichach-Friedberg County","[10-15)","female",3217
"DE275","Aichach-Friedberg County","[15-18)","female",1838
"DE275","Aichach-Friedberg County","[18-20)","female",1306
"DE275","Aichach-Friedberg County","[20-25)","female",3306
"DE275","Aichach-Friedberg County","[25-30)","female",3340
"DE275","Aichach-Friedberg County","[30-35)","female",4072
"DE275","Aichach-Friedberg County","[35-40)","female",4375
"DE275","Aichach-Friedberg County","[40-45)","female",4357
"DE275","Aichach-Friedberg County","[45-50)","female",4080
"DE275","Aichach-Friedberg County","[50-55)","female",5416
"DE275","Aichach-Friedberg County","[55-60)","female",5793
"DE275","Aichach-Friedberg County","[60-65)","female",4937
"DE275","Aichach-Friedberg County","[65-75)","female",7133
"DE275","Aichach-Friedberg County","[75+)","female",7945
"DE275","Aichach-Friedberg County","[00-03)","male",2174
"DE275","Aichach-Friedberg County","[03-06)","male",2344
"DE275","Aichach-Friedberg County","[06-10)","male",2878
"DE275","Aichach-Friedberg County","[10-15)","male",3288
"DE275","Aichach-Friedberg County","[15-18)","male",1967
"DE275","Aichach-Friedberg County","[18-20)","male",1400
"DE275","Aichach-Friedberg County","[20-25)","male",3676
"DE275","Aichach-Friedberg County","[25-30)","male",3617
"DE275","Aichach-Friedberg County","[30-35)","male",4186
"DE275","Aichach-Friedberg County","[35-40)","male",4410
"DE275","Aichach-Friedberg County","[40-45)","male",4399
"DE275","Aichach-Friedberg County","[45-50)","male",4220
"DE275","Aichach-Friedberg County","[50-55)","male",5422
"DE275","Aichach-Friedberg County","[55-60)","male",5908
"DE275","Aichach-Friedberg County","[60-65)","male",4913
"DE275","Aichach-Friedberg County","[65-75)","male",6728
"DE275","Aichach-Friedberg County","[75+)","male",5888
"DE145","Alb-Donau-Kreis County","[00-03)","female",3137
"DE145","Alb-Donau-Kreis County","[03-06)","female",3127
"DE145","Alb-Donau-Kreis County","[06-10)","female",3883
"DE145","Alb-Donau-Kreis County","[10-15)","female",4810
"DE145","Alb-Donau-Kreis County","[15-18)","female",2962
"DE145","Alb-Donau-Kreis County","[18-20)","female",2032
"DE145","Alb-Donau-Kreis County","[20-25)","female",5119
"DE145","Alb-Donau-Kreis County","[25-30)","female",5416
"DE145","Alb-Donau-Kreis County","[30-35)","female",6232
"DE145","Alb-Donau-Kreis County","[35-40)","female",5999
"DE145","Alb-Donau-Kreis County","[40-45)","female",6144
"DE145","Alb-Donau-Kreis County","[45-50)","female",5982
"DE145","Alb-Donau-Kreis County","[50-55)","female",7338
"DE145","Alb-Donau-Kreis County","[55-60)","female",8141
"DE145","Alb-Donau-Kreis County","[60-65)","female",7073
"DE145","Alb-Donau-Kreis County","[65-75)","female",10330
"DE145","Alb-Donau-Kreis County","[75+)","female",11282
"DE145","Alb-Donau-Kreis County","[00-03)","male",3338
"DE145","Alb-Donau-Kreis County","[03-06)","male",3278
"DE145","Alb-Donau-Kreis County","[06-10)","male",4075
"DE145","Alb-Donau-Kreis County","[10-15)","male",5000
"DE145","Alb-Donau-Kreis County","[15-18)","male",3196
"DE145","Alb-Donau-Kreis County","[18-20)","male",2260
"DE145","Alb-Donau-Kreis County","[20-25)","male",5986
"DE145","Alb-Donau-Kreis County","[25-30)","male",6198
"DE145","Alb-Donau-Kreis County","[30-35)","male",6758
"DE145","Alb-Donau-Kreis County","[35-40)","male",6588
"DE145","Alb-Donau-Kreis County","[40-45)","male",6300
"DE145","Alb-Donau-Kreis County","[45-50)","male",6207
"DE145","Alb-Donau-Kreis County","[50-55)","male",7716
"DE145","Alb-Donau-Kreis County","[55-60)","male",8470
"DE145","Alb-Donau-Kreis County","[60-65)","male",7114
"DE145","Alb-Donau-Kreis County","[65-75)","male",10053
"DE145","Alb-Donau-Kreis County","[75+)","male",8188
"DEG0M","Altenburger Land County","[00-03)","female",854
"DEG0M","Altenburger Land County","[03-06)","female",1019
"DEG0M","Altenburger Land County","[06-10)","female",1413
"DEG0M","Altenburger Land County","[10-15)","female",1807
"DEG0M","Altenburger Land County","[15-18)","female",1025
"DEG0M","Altenburger Land County","[18-20)","female",622
"DEG0M","Altenburger Land County","[20-25)","female",1319
"DEG0M","Altenburger Land County","[25-30)","female",1098
"DEG0M","Altenburger Land County","[30-35)","female",2055
"DEG0M","Altenburger Land County","[35-40)","female",2304
"DEG0M","Altenburger Land County","[40-45)","female",2367
"DEG0M","Altenburger Land County","[45-50)","female",2127
"DEG0M","Altenburger Land County","[50-55)","female",3312
"DEG0M","Altenburger Land County","[55-60)","female",3913
"DEG0M","Altenburger Land County","[60-65)","female",3847
"DEG0M","Altenburger Land County","[65-75)","female",7319
"DEG0M","Altenburger Land County","[75+)","female",8498
"DEG0M","Altenburger Land County","[00-03)","male",864
"DEG0M","Altenburger Land County","[03-06)","male",1069
"DEG0M","Altenburger Land County","[06-10)","male",1429
"DEG0M","Altenburger Land County","[10-15)","male",1765
"DEG0M","Altenburger Land County","[15-18)","male",1084
"DEG0M","Altenburger Land County","[18-20)","male",673
"DEG0M","Altenburger Land County","[20-25)","male",1551
"DEG0M","Altenburger Land County","[25-30)","male",1247
"DEG0M","Altenburger Land County","[30-35)","male",2212
"DEG0M","Altenburger Land County","[35-40)","male",2567
"DEG0M","Altenburger Land County","[40-45)","male",2631
"DEG0M","Altenburger Land County","[45-50)","male",2513
"DEG0M","Altenburger Land County","[50-55)","male",3491
"DEG0M","Altenburger Land County","[55-60)","male",4048
"DEG0M","Altenburger Land County","[60-65)","male",3746
"DEG0M","Altenburger Land County","[65-75)","male",6385
"DEG0M","Altenburger Land County","[75+)","male",5633
"DEB13","Altenkirchen County","[00-03)","female",1853
"DEB13","Altenkirchen County","[03-06)","female",1841
"DEB13","Altenkirchen County","[06-10)","female",2310
"DEB13","Altenkirchen County","[10-15)","female",2841
"DEB13","Altenkirchen County","[15-18)","female",1778
"DEB13","Altenkirchen County","[18-20)","female",1171
"DEB13","Altenkirchen County","[20-25)","female",3024
"DEB13","Altenkirchen County","[25-30)","female",3310
"DEB13","Altenkirchen County","[30-35)","female",3811
"DEB13","Altenkirchen County","[35-40)","female",3657
"DEB13","Altenkirchen County","[40-45)","female",3660
"DEB13","Altenkirchen County","[45-50)","female",3687
"DEB13","Altenkirchen County","[50-55)","female",4907
"DEB13","Altenkirchen County","[55-60)","female",5807
"DEB13","Altenkirchen County","[60-65)","female",5081
"DEB13","Altenkirchen County","[65-75)","female",7921
"DEB13","Altenkirchen County","[75+)","female",8536
"DEB13","Altenkirchen County","[00-03)","male",1875
"DEB13","Altenkirchen County","[03-06)","male",1953
"DEB13","Altenkirchen County","[06-10)","male",2473
"DEB13","Altenkirchen County","[10-15)","male",3018
"DEB13","Altenkirchen County","[15-18)","male",1834
"DEB13","Altenkirchen County","[18-20)","male",1263
"DEB13","Altenkirchen County","[20-25)","male",3486
"DEB13","Altenkirchen County","[25-30)","male",3748
"DEB13","Altenkirchen County","[30-35)","male",4120
"DEB13","Altenkirchen County","[35-40)","male",3696
"DEB13","Altenkirchen County","[40-45)","male",3623
"DEB13","Altenkirchen County","[45-50)","male",3608
"DEB13","Altenkirchen County","[50-55)","male",5109
"DEB13","Altenkirchen County","[55-60)","male",5816
"DEB13","Altenkirchen County","[60-65)","male",5203
"DEB13","Altenkirchen County","[65-75)","male",7353
"DEB13","Altenkirchen County","[75+)","male",5888
"DEE04","Altmarkkreis Salzwedel County","[00-03)","female",903
"DEE04","Altmarkkreis Salzwedel County","[03-06)","female",1013
"DEE04","Altmarkkreis Salzwedel County","[06-10)","female",1490
"DEE04","Altmarkkreis Salzwedel County","[10-15)","female",1848
"DEE04","Altmarkkreis Salzwedel County","[15-18)","female",995
"DEE04","Altmarkkreis Salzwedel County","[18-20)","female",615
"DEE04","Altmarkkreis Salzwedel County","[20-25)","female",1272
"DEE04","Altmarkkreis Salzwedel County","[25-30)","female",1212
"DEE04","Altmarkkreis Salzwedel County","[30-35)","female",2112
"DEE04","Altmarkkreis Salzwedel County","[35-40)","female",2419
"DEE04","Altmarkkreis Salzwedel County","[40-45)","female",2298
"DEE04","Altmarkkreis Salzwedel County","[45-50)","female",2099
"DEE04","Altmarkkreis Salzwedel County","[50-55)","female",3037
"DEE04","Altmarkkreis Salzwedel County","[55-60)","female",3941
"DEE04","Altmarkkreis Salzwedel County","[60-65)","female",3939
"DEE04","Altmarkkreis Salzwedel County","[65-75)","female",5711
"DEE04","Altmarkkreis Salzwedel County","[75+)","female",6274
"DEE04","Altmarkkreis Salzwedel County","[00-03)","male",931
"DEE04","Altmarkkreis Salzwedel County","[03-06)","male",1096
"DEE04","Altmarkkreis Salzwedel County","[06-10)","male",1504
"DEE04","Altmarkkreis Salzwedel County","[10-15)","male",1900
"DEE04","Altmarkkreis Salzwedel County","[15-18)","male",1158
"DEE04","Altmarkkreis Salzwedel County","[18-20)","male",678
"DEE04","Altmarkkreis Salzwedel County","[20-25)","male",1604
"DEE04","Altmarkkreis Salzwedel County","[25-30)","male",1326
"DEE04","Altmarkkreis Salzwedel County","[30-35)","male",2373
"DEE04","Altmarkkreis Salzwedel County","[35-40)","male",2680
"DEE04","Altmarkkreis Salzwedel County","[40-45)","male",2677
"DEE04","Altmarkkreis Salzwedel County","[45-50)","male",2330
"DEE04","Altmarkkreis Salzwedel County","[50-55)","male",3258
"DEE04","Altmarkkreis Salzwedel County","[55-60)","male",4201
"DEE04","Altmarkkreis Salzwedel County","[60-65)","male",3825
"DEE04","Altmarkkreis Salzwedel County","[65-75)","male",5385
"DEE04","Altmarkkreis Salzwedel County","[75+)","male",3882
"DE214","Altötting County","[00-03)","female",1597
"DE214","Altötting County","[03-06)","female",1696
"DE214","Altötting County","[06-10)","female",2122
"DE214","Altötting County","[10-15)","female",2457
"DE214","Altötting County","[15-18)","female",1554
"DE214","Altötting County","[18-20)","female",1046
"DE214","Altötting County","[20-25)","female",2820
"DE214","Altötting County","[25-30)","female",2958
"DE214","Altötting County","[30-35)","female",3229
"DE214","Altötting County","[35-40)","female",3418
"DE214","Altötting County","[40-45)","female",3321
"DE214","Altötting County","[45-50)","female",3282
"DE214","Altötting County","[50-55)","female",4170
"DE214","Altötting County","[55-60)","female",4656
"DE214","Altötting County","[60-65)","female",4192
"DE214","Altötting County","[65-75)","female",6682
"DE214","Altötting County","[75+)","female",7487
"DE214","Altötting County","[00-03)","male",1797
"DE214","Altötting County","[03-06)","male",1748
"DE214","Altötting County","[06-10)","male",2093
"DE214","Altötting County","[10-15)","male",2651
"DE214","Altötting County","[15-18)","male",1634
"DE214","Altötting County","[18-20)","male",1175
"DE214","Altötting County","[20-25)","male",3059
"DE214","Altötting County","[25-30)","male",3375
"DE214","Altötting County","[30-35)","male",3535
"DE214","Altötting County","[35-40)","male",3607
"DE214","Altötting County","[40-45)","male",3394
"DE214","Altötting County","[45-50)","male",3358
"DE214","Altötting County","[50-55)","male",4365
"DE214","Altötting County","[55-60)","male",4672
"DE214","Altötting County","[60-65)","male",4183
"DE214","Altötting County","[65-75)","male",5826
"DE214","Altötting County","[75+)","male",4957
"DEB3B","Alzey-Worms County","[00-03)","female",1963
"DEB3B","Alzey-Worms County","[03-06)","female",2051
"DEB3B","Alzey-Worms County","[06-10)","female",2562
"DEB3B","Alzey-Worms County","[10-15)","female",2845
"DEB3B","Alzey-Worms County","[15-18)","female",1787
"DEB3B","Alzey-Worms County","[18-20)","female",1237
"DEB3B","Alzey-Worms County","[20-25)","female",3068
"DEB3B","Alzey-Worms County","[25-30)","female",3059
"DEB3B","Alzey-Worms County","[30-35)","female",3964
"DEB3B","Alzey-Worms County","[35-40)","female",3990
"DEB3B","Alzey-Worms County","[40-45)","female",4079
"DEB3B","Alzey-Worms County","[45-50)","female",3981
"DEB3B","Alzey-Worms County","[50-55)","female",5184
"DEB3B","Alzey-Worms County","[55-60)","female",5888
