"nuts1","NUTS3_ID","nuts3","sex","age_cat","pop"
"Baden Wurttemberg","DE111","City of Stuttgart","female","[00-10)",26948
"Baden Wurttemberg","DE111","City of Stuttgart","female","[10-20)",25672
"Baden Wurttemberg","DE111","City of Stuttgart","female","[20-30)",45333
"Baden Wurttemberg","DE111","City of Stuttgart","female","[30-40)",50938
"Baden Wurttemberg","DE111","City of Stuttgart","female","[40-50)",40731
"Baden Wurttemberg","DE111","City of Stuttgart","female","[50-60)",41781
"Baden Wurttemberg","DE111","City of Stuttgart","female","[60-75)",45143
"Baden Wurttemberg","DE111","City of Stuttgart","female","[75+)",36843
"Baden Wurttemberg","DE111","City of Stuttgart","male","[00-10)",28533
"Baden Wurttemberg","DE111","City of Stuttgart","male","[10-20)",27041
"Baden Wurttemberg","DE111","City of Stuttgart","male","[20-30)",47936
"Baden Wurttemberg","DE111","City of Stuttgart","male","[30-40)",55216
"Baden Wurttemberg","DE111","City of Stuttgart","male","[40-50)",42373
"Baden Wurttemberg","DE111","City of Stuttgart","male","[50-60)",44402
"Baden Wurttemberg","DE111","City of Stuttgart","male","[60-75)",41674
"Baden Wurttemberg","DE111","City of Stuttgart","male","[75+)",25711
"Baden Wurttemberg","DE112","Böblingen County","female","[00-10)",20226
"Baden Wurttemberg","DE112","Böblingen County","female","[10-20)",18253
"Baden Wurttemberg","DE112","Böblingen County","female","[20-30)",20346
"Baden Wurttemberg","DE112","Böblingen County","female","[30-40)",26024
"Baden Wurttemberg","DE112","Böblingen County","female","[40-50)",25010
"Baden Wurttemberg","DE112","Böblingen County","female","[50-60)",29935
"Baden Wurttemberg","DE112","Böblingen County","female","[60-75)",33615
"Baden Wurttemberg","DE112","Böblingen County","female","[75+)",24273
"Baden Wurttemberg","DE112","Böblingen County","male","[00-10)",21062
"Baden Wurttemberg","DE112","Böblingen County","male","[10-20)",19638
"Baden Wurttemberg","DE112","Böblingen County","male","[20-30)",22603
"Baden Wurttemberg","DE112","Böblingen County","male","[30-40)",27202
"Baden Wurttemberg","DE112","Böblingen County","male","[40-50)",25006
"Baden Wurttemberg","DE112","Böblingen County","male","[50-60)",30844
"Baden Wurttemberg","DE112","Böblingen County","male","[60-75)",30919
"Baden Wurttemberg","DE112","Böblingen County","male","[75+)",18239
"Baden Wurttemberg","DE113","Esslingen County","female","[00-10)",25088
"Baden Wurttemberg","DE113","Esslingen County","female","[10-20)",24104
"Baden Wurttemberg","DE113","Esslingen County","female","[20-30)",28685
"Baden Wurttemberg","DE113","Esslingen County","female","[30-40)",33653
"Baden Wurttemberg","DE113","Esslingen County","female","[40-50)",33396
"Baden Wurttemberg","DE113","Esslingen County","female","[50-60)",41865
"Baden Wurttemberg","DE113","Esslingen County","female","[60-75)",46182
"Baden Wurttemberg","DE113","Esslingen County","female","[75+)",34067
"Baden Wurttemberg","DE113","Esslingen County","male","[00-10)",26291
"Baden Wurttemberg","DE113","Esslingen County","male","[10-20)",25890
"Baden Wurttemberg","DE113","Esslingen County","male","[20-30)",33287
"Baden Wurttemberg","DE113","Esslingen County","male","[30-40)",36473
"Baden Wurttemberg","DE113","Esslingen County","male","[40-50)",33909
"Baden Wurttemberg","DE113","Esslingen County","male","[50-60)",43061
"Baden Wurttemberg","DE113","Esslingen County","male","[60-75)",42425
"Baden Wurttemberg","DE113","Esslingen County","male","[75+)",25012
"Baden Wurttemberg","DE114","Göppingen County","female","[00-10)",12347
"Baden Wurttemberg","DE114","Göppingen County","female","[10-20)",11944
"Baden Wurttemberg","DE114","Göppingen County","female","[20-30)",13319
"Baden Wurttemberg","DE114","Göppingen County","female","[30-40)",15558
"Baden Wurttemberg","DE114","Göppingen County","female","[40-50)",15561
"Baden Wurttemberg","DE114","Göppingen County","female","[50-60)",20266
"Baden Wurttemberg","DE114","Göppingen County","female","[60-75)",23983
"Baden Wurttemberg","DE114","Göppingen County","female","[75+)",17152
"Baden Wurttemberg","DE114","Göppingen County","male","[00-10)",12887
"Baden Wurttemberg","DE114","Göppingen County","male","[10-20)",12477
"Baden Wurttemberg","DE114","Göppingen County","male","[20-30)",15555
"Baden Wurttemberg","DE114","Göppingen County","male","[30-40)",16696
"Baden Wurttemberg","DE114","Göppingen County","male","[40-50)",15763
"Baden Wurttemberg","DE114","Göppingen County","male","[50-60)",20905
"Baden Wurttemberg","DE114","Göppingen County","male","[60-75)",22380
"Baden Wurttemberg","DE114","Göppingen County","male","[75+)",12253
"Baden Wurttemberg","DE115","Ludwigsburg County","female","[00-10)",27081
